"","County","Date","cum_deaths","cum_cases","daily_deaths","daily_cases"
"1","Alamance",2020-01-22,0,0,0,0
"2","Alamance",2020-01-23,0,0,0,0
"3","Alamance",2020-01-24,0,0,0,0
"4","Alamance",2020-01-25,0,0,0,0
"5","Alamance",2020-01-26,0,0,0,0
"6","Alamance",2020-01-27,0,0,0,0
"7","Alamance",2020-01-28,0,0,0,0
"8","Alamance",2020-01-29,0,0,0,0
"9","Alamance",2020-01-30,0,0,0,0
"10","Alamance",2020-01-31,0,0,0,0
"11","Alamance",2020-02-01,0,0,0,0
"12","Alamance",2020-02-02,0,0,0,0
"13","Alamance",2020-02-03,0,0,0,0
"14","Alamance",2020-02-04,0,0,0,0
"15","Alamance",2020-02-05,0,0,0,0
"16","Alamance",2020-02-06,0,0,0,0
"17","Alamance",2020-02-07,0,0,0,0
"18","Alamance",2020-02-08,0,0,0,0
"19","Alamance",2020-02-09,0,0,0,0
"20","Alamance",2020-02-10,0,0,0,0
"21","Alamance",2020-02-11,0,0,0,0
"22","Alamance",2020-02-12,0,0,0,0
"23","Alamance",2020-02-13,0,0,0,0
"24","Alamance",2020-02-14,0,0,0,0
"25","Alamance",2020-02-15,0,0,0,0
"26","Alamance",2020-02-16,0,0,0,0
"27","Alamance",2020-02-17,0,0,0,0
"28","Alamance",2020-02-18,0,0,0,0
"29","Alamance",2020-02-19,0,0,0,0
"30","Alamance",2020-02-20,0,0,0,0
"31","Alamance",2020-02-21,0,0,0,0
"32","Alamance",2020-02-22,0,0,0,0
"33","Alamance",2020-02-23,0,0,0,0
"34","Alamance",2020-02-24,0,0,0,0
"35","Alamance",2020-02-25,0,0,0,0
"36","Alamance",2020-02-26,0,0,0,0
"37","Alamance",2020-02-27,0,0,0,0
"38","Alamance",2020-02-28,0,0,0,0
"39","Alamance",2020-02-29,0,0,0,0
"40","Alamance",2020-03-01,0,0,0,0
"41","Alamance",2020-03-02,0,0,0,0
"42","Alamance",2020-03-03,0,0,0,0
"43","Alamance",2020-03-04,0,0,0,0
"44","Alamance",2020-03-05,0,0,0,0
"45","Alamance",2020-03-06,0,0,0,0
"46","Alamance",2020-03-07,0,0,0,0
"47","Alamance",2020-03-08,0,0,0,0
"48","Alamance",2020-03-09,0,0,0,0
"49","Alamance",2020-03-10,0,0,0,0
"50","Alamance",2020-03-11,0,0,0,0
"51","Alamance",2020-03-12,0,0,0,0
"52","Alamance",2020-03-13,0,0,0,0
"53","Alamance",2020-03-14,0,0,0,0
"54","Alamance",2020-03-15,0,0,0,0
"55","Alamance",2020-03-16,0,0,0,0
"56","Alamance",2020-03-17,0,0,0,0
"57","Alamance",2020-03-18,0,0,0,0
"58","Alamance",2020-03-19,0,1,0,1
"59","Alamance",2020-03-20,0,1,0,0
"60","Alamance",2020-03-21,0,2,0,1
"61","Alamance",2020-03-22,0,2,0,0
"62","Alamance",2020-03-23,0,2,0,0
"63","Alamance",2020-03-24,0,2,0,0
"64","Alamance",2020-03-25,0,3,0,1
"65","Alamance",2020-03-26,0,5,0,2
"66","Alamance",2020-03-27,0,5,0,0
"67","Alamance",2020-03-28,0,7,0,2
"68","Alamance",2020-03-29,0,7,0,0
"69","Alamance",2020-03-30,0,8,0,1
"70","Alamance",2020-03-31,0,9,0,1
"71","Alamance",2020-04-01,0,14,0,5
"72","Alamance",2020-04-02,0,18,0,4
"73","Alamance",2020-04-03,0,18,0,0
"74","Alamance",2020-04-04,0,20,0,2
"75","Alamance",2020-04-05,0,21,0,1
"76","Alamance",2020-04-06,0,29,0,8
"77","Alamance",2020-04-07,0,30,0,1
"78","Alamance",2020-04-08,0,33,0,3
"79","Alamance",2020-04-09,0,36,0,3
"80","Alamance",2020-04-10,0,38,0,2
"81","Alamance",2020-04-11,0,40,0,2
"82","Alamance",2020-04-12,0,40,0,0
"83","Alamance",2020-04-13,0,42,0,2
"84","Alamance",2020-04-14,0,42,0,0
