Row Number,Date,County,Total Cases by Date of Specimen Collection,Total Cases That Were Reinfections,Deaths by Date of Death
1,10/1/2022,Durham ,20,2,0
2,9/30/2022,Durham ,29,4,0
3,9/29/2022,Durham ,61,7,0
4,9/28/2022,Durham ,70,10,0
5,9/27/2022,Durham ,75,8,0
6,9/26/2022,Durham ,74,3,0
7,9/25/2022,Durham ,29,4,1
8,9/24/2022,Durham ,44,5,0
9,9/23/2022,Durham ,64,10,0
10,9/22/2022,Durham ,90,13,0
11,9/21/2022,Durham ,87,10,0
12,9/20/2022,Durham ,87,10,0
13,9/19/2022,Durham ,110,11,0
14,9/18/2022,Durham ,51,4,1
15,9/17/2022,Durham ,50,7,0
16,9/16/2022,Durham ,78,11,0
17,9/15/2022,Durham ,93,15,0
18,9/14/2022,Durham ,112,15,0
19,9/13/2022,Durham ,112,13,0
20,9/12/2022,Durham ,124,17,0
21,9/11/2022,Durham ,66,6,0
22,9/10/2022,Durham ,50,2,0
23,9/9/2022,Durham ,85,13,0
24,9/8/2022,Durham ,101,17,0
25,9/7/2022,Durham ,172,17,0
26,9/6/2022,Durham ,167,26,0
27,9/5/2022,Durham ,42,9,0
28,9/4/2022,Durham ,55,10,0
29,9/3/2022,Durham ,54,7,0
30,9/2/2022,Durham ,80,5,1
31,9/1/2022,Durham ,82,18,0
32,8/31/2022,Durham ,119,17,0
33,8/30/2022,Durham ,136,17,0
34,8/29/2022,Durham ,124,19,1
35,8/28/2022,Durham ,57,10,0
36,8/27/2022,Durham ,72,14,0
37,8/26/2022,Durham ,94,13,0
38,8/25/2022,Durham ,113,21,1
39,8/24/2022,Durham ,131,23,0
40,8/23/2022,Durham ,125,24,0
41,8/22/2022,Durham ,135,16,0
42,8/21/2022,Durham ,59,8,0
43,8/20/2022,Durham ,65,7,0
44,8/19/2022,Durham ,93,13,0
45,8/18/2022,Durham ,128,13,0
46,8/17/2022,Durham ,120,14,0
47,8/16/2022,Durham ,113,14,1
48,8/15/2022,Durham ,144,19,0
49,8/14/2022,Durham ,74,8,0
50,8/13/2022,Durham ,94,13,0
51,8/12/2022,Durham ,116,16,0
52,8/11/2022,Durham ,114,17,0
53,8/10/2022,Durham ,147,17,0
54,8/9/2022,Durham ,226,24,0
55,8/8/2022,Durham ,188,20,0
56,8/7/2022,Durham ,75,9,0
57,8/6/2022,Durham ,93,11,1
58,8/5/2022,Durham ,120,19,0
59,8/4/2022,Durham ,168,27,1
60,8/3/2022,Durham ,196,25,0
61,8/2/2022,Durham ,161,23,1
62,8/1/2022,Durham ,188,17,0
63,7/31/2022,Durham ,93,11,0
64,7/30/2022,Durham ,101,10,0
65,7/29/2022,Durham ,157,16,1
66,7/28/2022,Durham ,161,22,0
67,7/27/2022,Durham ,195,21,0
68,7/26/2022,Durham ,190,20,0
69,7/25/2022,Durham ,171,27,0
70,7/24/2022,Durham ,97,11,0
71,7/23/2022,Durham ,111,14,2
72,7/22/2022,Durham ,148,14,2
73,7/21/2022,Durham ,158,20,1
74,7/20/2022,Durham ,174,22,0
